RatePer100000,ISOWeekStartDate,ISOWeekEndDate,ISOYear,ISOWeek,Region,RegionSortOrder,DiseaseName,Denominator,Numerator
13.3687,29/12/2003,04/01/2004,2004,1,National,0,Influenza-like illness,4316061,577
15.4597,05/01/2004,11/01/2004,2004,2,National,0,Influenza-like illness,4159207,643
9.3099,12/01/2004,18/01/2004,2004,3,National,0,Influenza-like illness,4135404,385
7.1897,19/01/2004,25/01/2004,2004,4,National,0,Influenza-like illness,4200480,302
5.7876,26/01/2004,01/02/2004,2004,5,National,0,Influenza-like illness,4129503,239
5.9045,02/02/2004,08/02/2004,2004,6,National,0,Influenza-like illness,4217113,249
3.9965,09/02/2004,15/02/2004,2004,7,National,0,Influenza-like illness,4128570,165
3.7629,16/02/2004,22/02/2004,2004,8,National,0,Influenza-like illness,4172357,157
4.1655,23/02/2004,29/02/2004,2004,9,National,0,Influenza-like illness,4177122,174
3.7819,01/03/2004,07/03/2004,2004,10,National,0,Influenza-like illness,4124907,156
4.1363,08/03/2004,14/03/2004,2004,11,National,0,Influenza-like illness,4182447,173
4.532,15/03/2004,21/03/2004,2004,12,National,0,Influenza-like illness,4214451,191
3.2847,22/03/2004,28/03/2004,2004,13,National,0,Influenza-like illness,4140452,136
3.987,29/03/2004,04/04/2004,2004,14,National,0,Influenza-like illness,2031581,81
1.9165,05/04/2004,11/04/2004,2004,15,National,0,Influenza-like illness,2034994,39
3.0757,12/04/2004,18/04/2004,2004,16,National,0,Influenza-like illness,2113322,65
3.2156,19/04/2004,25/04/2004,2004,17,National,0,Influenza-like illness,2052493,66
2.1242,26/04/2004,02/05/2004,2004,18,National,0,Influenza-like illness,2118427,45
1.713,03/05/2004,09/05/2004,2004,19,National,0,Influenza-like illness,2043171,35
2.793,10/05/2004,16/05/2004,2004,20,National,0,Influenza-like illness,2076603,58
1.9406,17/05/2004,23/05/2004,2004,21,National,0,Influenza-like illness,2061249,40
2.2262,24/05/2004,30/05/2004,2004,22,National,0,Influenza-like illness,2066319,46
1.5696,31/05/2004,06/06/2004,2004,23,National,0,Influenza-like illness,2102445,33
2.1708,07/06/2004,13/06/2004,2004,24,National,0,Influenza-like illness,2119081,46
1.8314,14/06/2004,20/06/2004,2004,25,National,0,Influenza-like illness,2129570,39
2.2673,21/06/2004,27/06/2004,2004,26,National,0,Influenza-like illness,2072953,47
1.9503,28/06/2004,04/07/2004,2004,27,National,0,Influenza-like illness,2102262,41
1.5977,05/07/2004,11/07/2004,2004,28,National,0,Influenza-like illness,2128078,34
2.9463,12/07/2004,18/07/2004,2004,29,National,0,Influenza-like illness,2070426,61
1.4777,19/07/2004,25/07/2004,2004,30,National,0,Influenza-like illness,2097840,31
1.4714,26/07/2004,01/08/2004,2004,31,National,0,Influenza-like illness,2106880,31
1.869,02/08/2004,08/08/2004,2004,32,National,0,Influenza-like illness,2140132,40
1.3077,09/08/2004,15/08/2004,2004,33,National,0,Influenza-like illness,2064657,27
1.4888,16/08/2004,22/08/2004,2004,34,National,0,Influenza-like illness,2149407,32
1.6119,23/08/2004,29/08/2004,2004,35,National,0,Influenza-like illness,2109307,34
1.4878,30/08/2004,05/09/2004,2004,36,National,0,Influenza-like illness,2150808,32
2.1893,06/09/2004,12/09/2004,2004,37,National,0,Influenza-like illness,2146775,47
3.0954,13/09/2004,19/09/2004,2004,38,National,0,Influenza-like illness,2164507,67
4.0723,20/09/2004,26/09/2004,2004,39,National,0,Influenza-like illness,2160948,88
3.9561,27/09/2004,03/10/2004,2004,40,National,0,Influenza-like illness,2173875,86
5.467,04/10/2004,10/10/2004,2004,41,National,0,Influenza-like illness,2158400,118
5.554,11/10/2004,17/10/2004,2004,42,National,0,Influenza-like illness,2088599,116
4.4602,18/10/2004,24/10/2004,2004,43,National,0,Influenza-like illness,2129951,95
4.9139,25/10/2004,31/10/2004,2004,44,National,0,Influenza-like illness,2116466,104
5.7484,01/11/2004,07/11/2004,2004,45,National,0,Influenza-like illness,2122332,122
5.1122,08/11/2004,14/11/2004,2004,46,National,0,Influenza-like illness,2151726,110
5.0828,15/11/2004,21/11/2004,2004,47,National,0,Influenza-like illness,2124827,108
5.7414,22/11/2004,28/11/2004,2004,48,National,0,Influenza-like illness,2159748,124
7.0364,29/11/2004,05/12/2004,2004,49,National,0,Influenza-like illness,2160199,152
8.1339,06/12/2004,12/12/2004,2004,50,National,0,Influenza-like illness,2139189,174
10.4622,13/12/2004,19/12/2004,2004,51,National,0,Influenza-like illness,2198397,230
11.557,20/12/2004,26/12/2004,2004,52,National,0,Influenza-like illness,2145886,248
11.0384,27/12/2004,02/01/2005,2004,53,National,0,Influenza-like illness,2210456,244
19.9549,03/01/2005,09/01/2005,2005,1,National,0,Influenza-like illness,2129798,425
19.6695,10/01/2005,16/01/2005,2005,2,National,0,Influenza-like illness,2155626,424
13.459,17/01/2005,23/01/2005,2005,3,National,0,Influenza-like illness,2147264,289
18.9087,24/01/2005,30/01/2005,2005,4,National,0,Influenza-like illness,2163022,409
20.8527,31/01/2005,06/02/2005,2005,5,National,0,Influenza-like illness,2239523,467
19.1118,07/02/2005,13/02/2005,2005,6,National,0,Influenza-like illness,2202828,421
16.7424,14/02/2005,20/02/2005,2005,7,National,0,Influenza-like illness,2168149,363
15.3391,21/02/2005,27/02/2005,2005,8,National,0,Influenza-like illness,2242641,344
15.4139,28/02/2005,06/03/2005,2005,9,National,0,Influenza-like illness,2218781,342
16.4616,07/03/2005,13/03/2005,2005,10,National,0,Influenza-like illness,2205135,363
15.8719,14/03/2005,20/03/2005,2005,11,National,0,Influenza-like illness,2230350,354
12.0952,21/03/2005,27/03/2005,2005,12,National,0,Influenza-like illness,2207483,267
8.1313,28/03/2005,03/04/2005,2005,13,National,0,Influenza-like illness,2078384,169
7.4315,04/04/2005,10/04/2005,2005,14,National,0,Influenza-like illness,2072272,154
5.3272,11/04/2005,17/04/2005,2005,15,National,0,Influenza-like illness,2083636,111
4.7281,18/04/2005,24/04/2005,2005,16,National,0,Influenza-like illness,2115025,100
5.2092,25/04/2005,01/05/2005,2005,17,National,0,Influenza-like illness,2111640,110
3.0949,02/05/2005,08/05/2005,2005,18,National,0,Influenza-like illness,2132535,66
