"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"1","States","Alabama",2010,40,NA,2.13477,NA,NA,NA,NA,NA,NA,249,35,11664,2010-10-03
"2","States","Alaska",2010,40,NA,0.875146,NA,NA,NA,NA,NA,NA,15,7,1714,2010-10-03
"3","States","Arizona",2010,40,NA,0.674721,NA,NA,NA,NA,NA,NA,172,49,25492,2010-10-03
"4","States","Arkansas",2010,40,NA,0.696056,NA,NA,NA,NA,NA,NA,18,15,2586,2010-10-03
"5","States","California",2010,40,NA,1.95412,NA,NA,NA,NA,NA,NA,632,112,32342,2010-10-03
"6","States","Colorado",2010,40,NA,0.660684,NA,NA,NA,NA,NA,NA,134,14,20282,2010-10-03
"7","States","Connecticut",2010,40,NA,0.0783085,NA,NA,NA,NA,NA,NA,3,12,3831,2010-10-03
"8","States","Delaware",2010,40,NA,0.100125,NA,NA,NA,NA,NA,NA,4,13,3995,2010-10-03
"9","States","District of Columbia",2010,40,NA,2.80877,NA,NA,NA,NA,NA,NA,73,4,2599,2010-10-03
"10","States","Florida",2010,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-10-03
"11","States","Georgia",2010,40,NA,1.6049,NA,NA,NA,NA,NA,NA,647,62,40314,2010-10-03
"12","States","Hawaii",2010,40,NA,1.02934,NA,NA,NA,NA,NA,NA,20,18,1943,2010-10-03
"13","States","Idaho",2010,40,NA,0.414938,NA,NA,NA,NA,NA,NA,19,12,4579,2010-10-03
"14","States","Illinois",2010,40,NA,1.28205,NA,NA,NA,NA,NA,NA,505,74,39390,2010-10-03
"15","States","Indiana",2010,40,NA,0.518962,NA,NA,NA,NA,NA,NA,65,44,12525,2010-10-03
"16","States","Iowa",2010,40,NA,0.563063,NA,NA,NA,NA,NA,NA,10,6,1776,2010-10-03
"17","States","Kansas",2010,40,NA,0.442227,NA,NA,NA,NA,NA,NA,39,40,8819,2010-10-03
"18","States","Kentucky",2010,40,NA,0.142932,NA,NA,NA,NA,NA,NA,19,14,13293,2010-10-03
"19","States","Louisiana",2010,40,NA,2.28108,NA,NA,NA,NA,NA,NA,391,41,17141,2010-10-03
"20","States","Maine",2010,40,NA,0.357724,NA,NA,NA,NA,NA,NA,22,30,6150,2010-10-03
"21","States","Maryland",2010,40,NA,1.3192,NA,NA,NA,NA,NA,NA,117,17,8869,2010-10-03
"22","States","Massachusetts",2010,40,NA,0.604621,NA,NA,NA,NA,NA,NA,168,56,27786,2010-10-03
"23","States","Michigan",2010,40,NA,0.671831,NA,NA,NA,NA,NA,NA,98,47,14587,2010-10-03
"24","States","Minnesota",2010,40,NA,0.5748,NA,NA,NA,NA,NA,NA,38,17,6611,2010-10-03
"25","States","Mississippi",2010,40,NA,2.9098,NA,NA,NA,NA,NA,NA,491,42,16874,2010-10-03
"26","States","Missouri",2010,40,NA,1.10176,NA,NA,NA,NA,NA,NA,106,33,9621,2010-10-03
"27","States","Montana",2010,40,NA,0.0371195,NA,NA,NA,NA,NA,NA,1,7,2694,2010-10-03
"28","States","Nebraska",2010,40,NA,2.19978,NA,NA,NA,NA,NA,NA,61,13,2773,2010-10-03
"29","States","Nevada",2010,40,NA,1.66683,NA,NA,NA,NA,NA,NA,175,30,10499,2010-10-03
"30","States","New Hampshire",2010,40,NA,0.0759301,NA,NA,NA,NA,NA,NA,3,21,3951,2010-10-03
"31","States","New Jersey",2010,40,NA,2.31534,NA,NA,NA,NA,NA,NA,163,23,7040,2010-10-03
"32","States","New Mexico",2010,40,NA,2.13191,NA,NA,NA,NA,NA,NA,160,23,7505,2010-10-03
"33","States","New York",2010,40,NA,0.26299,NA,NA,NA,NA,NA,NA,37,91,14069,2010-10-03
"34","States","North Carolina",2010,40,NA,0.53143,NA,NA,NA,NA,NA,NA,134,74,25215,2010-10-03
"35","States","North Dakota",2010,40,NA,0.671355,NA,NA,NA,NA,NA,NA,42,19,6256,2010-10-03
"36","States","Ohio",2010,40,NA,0.228257,NA,NA,NA,NA,NA,NA,29,36,12705,2010-10-03
