,similarity
flu,2.9332635800685547
flu influenza,2.815252799825
flu swine,2.70624817992558
flu h1n1,2.9332635800685547
flu h1n1 swine,2.7062481799255798
avian flu,2.804653320628704
flu virus,2.6467234528911536
flu swine virus,2.5513995138142977
flu h1n1 virus,2.6467234528911536
flu pandemic,2.756160042505937
flu outbreak,2.6293172989227154
bird flu,2.711434711593383
flu pandemic swine,2.608641025926545
flu outbreak swine,2.522736682050682
influenza,2.286143312044317
influenza swine,2.1310931650902685
swine,1.9922784893820147
avian flu virus,2.600513639993425
h1n1 influenza,2.286143312044317
h1n1 swine,1.9922784893820147
flu outbreaks,2.8241668685243377
h1n1,1.998667554963358
flu swine vaccine,2.5588291765228526
avian flu pandemic,2.6716754866628953
bird flu h5n1,2.7114347115933843
epidemic flu swine,2.545531801961585
avian bird flu,2.6375637498796207
bird flu virus,2.5675526274089897
flu h1n1 vaccine,2.657723652311951
flu vaccine,2.6577236523119514
h1n1 influenza virus,2.260805761144017
epidemic flu,2.6579939915968804
avian influenza,2.2273160682176405
bird flu pandemic,2.634200428803084
influenza virus,2.2608057611440167
swine virus,2.1542884094140553
flu infection,2.8921874302781516
avian flu vaccine,2.6023933591173347
flu vaccines,2.6493363448588263
h1n1 virus,2.2193254285452597
flu swine vaccination,2.6622297719446135
contagious flu swine,2.5419509029222342
disease flu,2.670720415120492
flu swine symptoms,2.7364493551922915
flu strain,2.8684896408949685
influenza pandemic,2.214403798538127
bird flu vaccine,2.5800378841860083
influenza outbreak,2.1451765126048
bird influenza,2.1627290609774104
flu h1n1 symptoms,2.8467224218194245
bird epidemic flu,2.567862531294627
cdc flu swine,2.5213198246007607
h1n1 outbreak,2.0565079218310296
h5n1,1.998667554963358
flu vaccination,2.798651678740422
h5n1 virus,2.2193254285452597
cases flu swine,2.576036724764154
flu viruses,2.692880763254839
contagious flu,2.6496449836311378
contagious flu virus,2.527373890377751
fever flu,2.92647436298027
avian flu symptoms,2.7851632337918573
flu symptoms virus,2.67976066336713
flu spread swine,2.4706552984835106
flu symptoms,2.8467224218194245
flu tamiflu,2.9332635800685547
deaths flu swine,2.516533041829845
avian cdc flu,2.5654267068113694
flu vaccinations,2.840004316596273
influenza vaccine,2.2293732270730047
swine vaccine,2.1275427192942673
flu respiratory,2.8871748282803433
flu viral,2.5201436220895497
epidemics flu,2.9332635800685547
epidemic influenza,2.1681120616990426
bird flu symptoms,2.7580818253954127
cdc flu,2.6199354943846145
outbreak virus,2.1601070030787772
h1n1 vaccine,2.1754738763494195
sars virus,2.2193254285452597
bird cdc flu,2.5395723406744626
flu strains,2.8617791789940292
birds flu,2.76193464515395
antiviral flu,2.9332635800685547
cases flu,2.679549171873969
flu prevent swine,2.535594546782327
flu latest swine,2.480941118922568
bird cases flu,2.59536993355801
flu pandemics,2.9332635800685547
antibiotics flu,2.899402103998006
flu swine treatment,2.6943403699480912
flu symptoms vaccine,2.684933577649221
disease swine,2.17118147573954
outbreaks virus,2.272721006551152
pandemic,2.1168654093556953
outbreak,2.0565079218310296
flu spread,2.5617927796222397
alert flu,2.6835978919679326
cdc flu vaccine,2.493819684729131
bird deaths flu,2.5345233127086706
sars,1.998667554963358
h1n1 symptoms virus,2.4368704288098777
deaths flu,2.6046010262847954
death flu swine,2.497503941398655
flu shots swine,2.6065707811951278
influenza vaccination,2.369942706803892
diarrhea flu,2.772231464136668
flu severe,2.8275899606106627
flu swine update,2.569961729320248
flu spreading,2.5775067108327487
contagious influenza,2.135543587748023
flu latest virus,2.4828731871226393
flu stomach virus,2.694645333109124
flu incubation swine,2.7062481799255798
flu statistics swine,2.4464279396328736
flu seasonal,2.86786587014043
fever swine,2.547025454866876
flu medication,2.900423097142309
flu immunization,2.9332635800685547
flu medicines,2.8540417601375023
cough flu,2.8642637769806925
flu swine the,2.4162525159527037
bug flu,2.8017532334614206
about flu swine,2.3809059106377877
flu shot swine,2.582264607657146
flu treat,2.8023608828877413
influenza symptoms,2.5189593440321847
deaths flu vaccine,2.5009742442897434
flu swine symptons,2.7062481799255798
flu tests,2.8060837291276175
flu game swine,2.5639083127494633
flu h1n1 shot,2.6955871214542837
diagnosis flu,2.7928785191159617
flu prevention,2.76322382024656
epidemic pandemic,2.1095140165735873
flu seasonal vaccine,2.6672136552009604
drugs flu,2.6475482794768315
h1n1 symptoms,2.5354763718584192
disease virus,2.2502366716568076
flu precautions,2.867648417077521
flu jab swine,2.686031172074984
flu news swine,2.5283723751007656
flu origin swine,2.463070100227676
flu medications,2.918495126648909
flu testing,2.810425212492093
complications flu,2.8363441486504457
flu swine uk,2.5126173950078337
cdc influenza,2.1203290894974716
cdc swine,2.0081993810957606
